,Date,Temperature_C_london,Temperature_C_rome,Temperature_C_milan,Temperature_C_sabine,Temperature_C_singapore,Temperature_C_delhi,Temperature_C_paris,Temperature_C_amsterdam,Temperature_C_berlin,Temperature_C_beijing,Temperature_C_houston,Temperature_C_shanghai,Temperature_C_madrid,Temperature_C_seoul,Temperature_C_tokyo,Temperature_C_warsaw,Temperature_C_barcelona,Temperature_C_marseille
0,2009-01-01,1.846138,13.580338,1.9922333,7.4112244,26.309921,16.165758,0.90859985,0.67318046,-2.2359924,-6.1221213,5.1213126,2.170712,9.691338,-5.3799033,4.017929,-5.368154,11.900238,11.719856
1,2009-01-02,3.2738953,10.781517,1.2154007,17.460213,25.81794,16.795279,-0.37747192,1.9666375,-0.50285846,-3.9839172,16.989355,3.3690288,10.240242,-3.126424,5.1438446,-3.340739,11.455139,10.090485
2,2009-01-03,1.9743233,9.509331,2.645218,19.12593,25.051865,14.94278,0.5981598,0.2927687,-3.778478,-1.5920715,20.784607,5.991187,8.282448,-0.83619183,5.5326233,-3.5055492,10.173637,9.825676
3,2009-01-04,-0.6045151,8.123077,1.8955917,19.405067,25.89598,16.174082,-1.4665222,3.7610168,0.6676534,-4.921519,20.936377,5.9203253,8.404343,-0.861674,5.9676666,-3.6856334,9.266777,6.503151
4,2009-01-05,1.9515686,8.828506,0.69683075,12.93042,26.153183,16.89567,-0.01671346,-1.2224663,-6.190801,-5.862671,8.850789,7.144284,1.9497452,-3.284261,6.6231537,-10.223892,8.356987,6.0704346
5,2009-01-06,0.023677826,10.461662,0.15184784,12.622147,26.434853,17.079494,-4.720968,-2.5528057,-13.694275,-4.0227356,6.695755,4.5652366,5.4503174,-1.1756083,7.0919647,-11.260345,6.652817,3.791977
6,2009-01-07,1.4404984,10.612656,1.0156479,7.8648376,25.792015,16.401512,-3.7628376,2.999176,-5.513489,-2.254364,3.2551677,5.1611156,2.9883575,-2.087677,5.7464905,-7.6613007,5.0715027,1.3829346
7,2009-01-08,2.6879883,9.898537,2.5308151,11.831482,26.311966,16.471457,-0.4588674,-2.0554843,-7.7219596,-3.2384236,7.906479,2.9541152,1.5687866,-2.4037883,5.3601074,-4.5849304,5.210602,4.672394
8,2009-01-09,-0.7112045,12.011112,1.1783905,14.386246,26.118622,17.658731,-3.7871296,-2.9819438,-4.084722,-5.219381,15.826701,0.95689225,0.8764801,-4.928482,4.6431274,-2.926941,8.97995,7.810959
9,2009-01-10,-3.0088768,10.185753,-1.02771,19.198555,25.348946,19.02482,-3.0673015,-3.2521057,-0.011113484,-1.4942627,20.420782,-1.5236715,-0.66645813,-7.0112815,3.0391388,0.9805247,9.946991,9.96209
10,2009-01-11,7.1258507,12.377911,1.5784607,6.599045,25.290504,18.265167,1.2619222,2.1744962,-2.658905,-4.567627,4.3151193,2.3495111,3.4702835,-7.59256,4.1986084,1.4687805,11.523804,9.413498
11,2009-01-12,7.980789,10.87249,3.3805542,5.121521,25.843834,17.978231,3.7255657,4.9094,-1.5781403,-4.657308,-0.21957397,0.10908678,2.8158188,-5.897817,2.7149658,0.4632009,11.208969,11.000877
12,2009-01-13,8.602959,10.662384,2.008789,8.096893,25.503845,18.054081,4.6180367,5.0518427,1.755722,-0.19167073,6.9913583,-1.0315382,1.6419907,-4.957998,3.3950043,0.87221783,10.328064,11.676819
13,2009-01-14,2.8269806,11.475025,3.964859,4.067169,25.545242,19.583107,4.0110984,5.3076816,-2.7618206,-5.695414,-1.1393331,1.7078247,2.2011566,-7.47876,5.248352,-1.2105865,10.577377,9.8298645
14,2009-01-15,5.5455017,10.854244,4.66494,5.6462708,25.455658,19.253283,4.2050376,3.647444,1.8033447,-4.5914407,2.6794941,0.84628975,3.040924,-4.711273,2.1357574,-0.9588318,10.036125,10.076073
